№,Клиника,Телефон,Район,Часы по 2ГИС,Приоритет,Пн-Пт 20:30,Пн-Пт 20:40,Сб 13:00,Сб 13:10,Вс 12:00,Вс 12:10,Перезвонили,Заметки
1,Ажар Дент,+7 705 222 99 22,Жетысуский,09:00-19:00,A,,,,,,,,
2,Empire dental clinic,+7 778 114 76 94,Бостандыкский,10:00-20:00,A,,,,,,,,
3,AylinDent,+7 707 963 30 44,Ауэзовский,09:00-21:00 ежедневно,A,,,,,,,,
4,Light Dental Clinic,+7 705 333 19 99,Ауэзовский,09:00-21:00,A,,,,,,,,
5,Kids Stom,+7 707 220 80 00,Бостандыкский,09:00-21:00 ежедневно,A,,,,,,,,
6,Sara clinic,+7 707 675 70 00,Ауэзовский,09:00-21:00 ежедневно,A,,,,,,,,
7,DS Stomatology,+7 771 267 61 27,Талгарский,09:00-21:00 ежедневно,A,,,,,,,,
8,Ever Smile,+7 747 900 30 09,Алмалинский,10:00-22:00 обед 12:00-14:30,A,,,,,,,,
9,Top Smile,+7 747 085 70 71,Бостандыкский,10:00-22:00 ежедневно по записи,A,,,,,,,,
10,Dobro Dent,+7 775 030 09 99,Бостандыкский,09:00-22:00 ежедневно,A,,,,,,,,
11,Doctor Dent,+7 705 170 78 59,Бостандыкский,не указаны,B,,,,,,,,
12,Dr. Baratov,+7 707 189 36 45,Алмалинский,не указаны,B,,,,,,,,
13,Dr. Park,+7 707 909 78 76,Бостандыкский,открывается в 09:00,B,,,,,,,,
14,Никамед,+7 727 973 55 53,Бостандыкский,открывается в 08:00,B,,,,,,,,
15,Diamond Dent,+7 771 275 39 49,Ауэзовский,открывается в 09:00,B,,,,,,,,
16,Mirai Dental Clinic,+7 700 302 22 30,Бостандыкский,не указаны,B,,,,,,,,
17,Senim Dental Clinic,+7 701 408 84 44,Бостандыкский,не указаны,B,,,,,,,,
18,Клиника доктора Мирзоева,+7 701 758 55 21,Алмалинский,открывается в 10:00 по записи,B,,,,,,,,
19,MC Dent,+7 702 366 59 74,Алмалинский,не указаны,B,,,,,,,,
20,Elit Stom (Манаса 19),+7 700 818 90 60,Бостандыкский,не указаны,B,,,,,,,,
21,Family Dent Dr. Kapanov,+7 771 645 53 96,Ауэзовский,не указаны,B,,,,,,,,
22,Стоматология Аброра Исмаиловича,+7 775 370 12 13,Бостандыкский,не указаны,B,,,,,,,,
23,Smilex Dental Center,+7 747 897 32 07,Алмалинский,открывается в 09:30,B,,,,,,,,
24,Altyn Dent,+7 747 920 75 71,Алмалинский,открывается в 09:00,B,,,,,,,,
25,Azu Dental Clinic,+7 708 002 22 02,Бостандыкский,не указаны,B,,,,,,,,
26,Dental Planet,+7 705 888 38 15,Алмалинский,открывается в 08:00,B,,,,,,,,
27,Estetik Dental Clinic,+7 707 530 00 54,Бостандыкский,не указаны,B,,,,,,,,
28,Infinity Dental Clinic,+7 707 515 64 85,Ауэзовский,не указаны,B,,,,,,,,
29,Izi Clinic,+7 747 094 01 90,Алмалинский,по предварительной записи,B,,,,,,,,
30,Like-Clinic,+7 775 103 73 23,Ауэзовский,не указаны,B,,,,,,,,
31,Dr. Yerzhana Musagalieva,+7 700 710 11 00,Алмалинский,не указаны,B,,,,,,,,
32,AQstom,+7 707 000 00 22,Бостандыкский,не указаны,B,,,,,,,,
33,Global Dent,+7 707 470 90 88,Бостандыкский,открывается в 09:00 по звонку,B,,,,,,,,
34,Elit Stom (Сейфуллина 102),+7 747 323 28 34,Турксибский,не указаны,B,,,,,,,,
35,Expert 32 stom,+7 775 846 19 49,Турксибский,не указаны,B,,,,,,,,
36,DentalPRO,+7 771 800 00 67,Турксибский,не указаны,B,,,,,,,,
37,Dr.Omar Dental Clinic,+7 778 143 52 61,Талгарский (Бесагаш),открывается в 09:00,B,,,,,,,,
38,InClinic,+7 707 333 22 66,Медеуский,открывается в 09:00,B,,,,,,,,
39,DOSTYQ DENTAL CENTER,+7 707 677 71 09,Алмалинский,открывается в 10:00,B,,,,,,,,
40,КГМЦ,+7 727 397 37 78,Турксибский,открывается в 09:00 по записи,B,,,,,,,,
41,Стома Плюс,+7 771 335 30 17,Алатауский,09:00-23:00,C,,,,,,,,
42,Estet Clinic,+7 707 101 02 33,Ауэзовский,09:00-23:00 ежедневно,C,,,,,,,,
43,Muslim Dent,+7 771 800 00 65,Алмалинский,10:00-23:45 ежедневно,C,,,,,,,,
44,Bilal stom,+7 707 666 98 92,Бостандыкский,09:00-24:00 ежедневно,C,,,,,,,,
45,Dr.SULTANOV ATABEK,+7 775 300 85 05,Бостандыкский,09:00-24:00,C,,,,,,,,
46,Dr. Beridze,+7 775 522 05 09,Турксибский,09:00-24:00 ежедневно,C,,,,,,,,
47,Elit Dent,+7 708 269 71 00,Бостандыкский,круглосуточно,C,,,,,,,,
