№,Клиника,Телефон,Доп. телефон,Адрес,Часы,Приоритет,Раб.,Веч.1,Веч.2,Сб.1,Сб.2,Вс.1,Вс.2,Перезвонили,Заметки
1,"Стоматологический центр ""PROTETIKA""",+7 776 237 84 05,+7 (7142) 91 78 89,"пр. Абая, д. 112",не указаны,B,,,,,,,,,
2,"Стоматологический кабинет ""МОЙ ДОКТОР""",+7 705 450 98 95,,"ул. Аль-Фараби, д. 117",09:00-18:00,A,,,,,,,,,
3,"Стоматология ""STOMAX 72+""",+7 (7142) 56 60 82,+7 777 792 09 81,"ул. Бородина, д. 234Б",не указаны,B,,,,,,,,,
4,DENTAL в 7 мкр,+7 (7142) 22 36 77,+7 701 068 33 37,"мкр 7, д. 17",не указаны,B,,,,,,,,,
5,DENTAL на Береке,+7 (7142) 28 42 96,+7 701 059 33 36,"мкр Береке, д. 50",не указаны,B,,,,,,,,,
6,DENTAL на Чехова,+7 (7142) 56 76 73,+7 701 673 33 80,"ул. Чехова, д. 125",09:00-19:00,A,,,,,,,,,
7,DENTAL на Чкалова,+7 (7142) 26 42 16,+7 701 950 33 38,"ул. Чкалова, д. 7",09:00-19:00,A,,,,,,,,,
8,DENTAL на Каирбекова,+7 (7142) 56 48 66,+7 701 064 33 31,"ул. Каирбекова, д. 389",не указаны,B,,,,,,,,,
9,ЖЕМЧУЖИНА СТОМЕД на Пушкина,+7 (7142) 50 33 00,+7 707 550 63 55,"ул. Пушкина, д. 54",09:00-20:00,A,,,,,,,,,
10,ЖЕМЧУЖИНА СТОМЕД на Уральской,+7 (7142) 28 01 69,+7 (7142) 50 33 00,"ул. Уральская, д. 14",не указаны,B,,,,,,,,,
11,ОДОНТИК,+7 777 236 38 15,,"ул. Урожайная, д. 16",09:00-18:00,A,,,,,,,,,
12,КОКТЕМ-3,+7 (7142) 54 96 05,+7 747 752 82 53,"ул. Тауелсиздик, д. 87",не указаны,B,,,,,,,,,
13,ТУЛЕШ,+7 (7142) 22 65 55,+7 776 999 32 29,"мкр 7, д. 15",не указаны,B,,,,,,,,,
14,MIA DENTA,+7 (7142) 39 66 43,+7 777 972 44 55,"ул. Алтынсарина, д. 32",не указаны,B,,,,,,,,,
15,Медцентр МЕДИКУС,+7 (7142) 28 25 43,+7 777 298 53 42,"ул. Строительная, д. 6",не указаны,B,,,,,,,,,
16,ДЕНТАЛ-СЕРВИС,+7 707 370 17 99,,"ул. Абая, д. 63",09:00-18:00,A,,,,,,,,,
17,ЭРА,+7 (7142) 56 46 46,+7 747 601 93 60,"ул. Каирбекова, д. 377",не указаны,B,,,,,,,,,
18,ТОТЫ,+7 (7142) 91 73 29,+7 701 473 36 63,"ул. Алтынсарина, д. 153",не указаны,B,,,,,,,,,
19,НАРИ-С,+7 (7142) 26 16 78,+7 747 430 62 39,"пр. Абая, д. 12",10:00-17:00,A,,,,,,,,,
20,ЗУБ и К,+7 (7142) 26 72 29,+7 776 079 19 25,"ул. Чкалова, д. 14",09:00-17:00,A,,,,,,,,,
21,Стоматология 32,+7 (7142) 55 30 03,+7 776 127 64 82,"ул. Кобланды батыра, д. 38",не указаны,B,,,,,,,,,
22,Стоматология на Майлина,+7 (7142) 57 25 65,+7 777 255 32 63,"ул. Майлина, д. 18",не указаны,B,,,,,,,,,
23,Стоматология в мкр 9,+7 777 328 57 66,+7 777 562 16 33,"мкр 9, д. 4А",не указаны,B,,,,,,,,,
24,Стоматология на Аль-Фараби 123,+7 (7142) 90 02 39,+7 777 134 16 88,"пр. Аль-Фараби, д. 123",09:00-18:00,A,,,,,,,,,
25,ВИТА,+7 (7142) 51 20 08,+7 777 302 70 23,"ул. Абая, д. 160",не указаны,B,,,,,,,,,
26,НУР,+7 (7142) 28 34 29,+7 747 131 98 77,"ул. Мауленова, д. 12/4",10:00-18:00,A,,,,,,,,,
27,АЙМАН,+7 (7142) 28 46 72,+7 705 138 04 70,"ул. Карбышева, д. 19",не указаны,B,,,,,,,,,
28,ЕМ БЕРГЕН,+7 (7142) 55 38 13,+7 777 139 51 27,"ул. Кобланды батыра, д. 31/1",не указаны,B,,,,,,,,,
29,КРОКУС,+7 (7142) 50 10 10,+7 700 801 88 88,"ул. Дощанова, д. 19",не указаны,B,,,,,,,,,
30,ДАНТИСТ,+7 (7142) 57 47 01,+7 705 746 99 02,"ул. Бертрана Рубинштейна, д. 81",не указаны,B,,,,,,,,,
31,BEST,+7 705 832 30 57,,"ул. Байтурсынова, д. 45",не указаны,B,,,,,,,,,
32,ЖЕМЧУЖИНА СТОМЕД в мкр 8,+7 (7142) 22 58 03,+7 707 662 60 27,"мкр 8, д. 19",не указаны,B,,,,,,,,,
33,PREMIUM DENT,+7 (7142) 50 33 27,+7 777 391 25 95,"ул. Гоголя, д. 87",09:00-17:00,A,,,,,,,,,
34,Кабинет на Кобланды батыра 21Б,+7 (7142) 75 35 66,+7 705 506 37 53,"ул. Кобланды батыра, д. 21Б",не указаны,B,,,,,,,,,
35,БЕРИК & К,+7 701 456 95 57,+7 (7132) 54 30 31,"ул. Касымханова, д. 114",09:00-18:00,A,,,,,,,,,
36,Кабинет при аптеке «Домик аптекаря»,+7 777 379 13 74,+7 777 379 13 75,"мкр 8, д. 8А",не указаны,B,,,,,,,,,
37,Стоматология на Леонида Беды,+7 777 304 15 63,+7 701 764 06 80,"ул. Леонида Беды, д. 26",не указаны,B,,,,,,,,,
38,ДЕНТА,+7 (7142) 53 21 34,,"ул. Пушкина, д. 65",не указаны,B,,,,,,,,,
39,А-СТОМ,+7 (7142) 54 34 86,+7 777 230 53 80,"ул. Амангельды, д. 76",не указаны,B,,,,,,,,,
40,Медцентр САЕ,+7 (7142) 56 52 52,,"ул. Каирбекова, д. 369",не указаны,B,,,,,,,,,
41,Областная детская стоматполиклиника,+7 (7142) 52 40 69,+7 702 010 27 98,"ул. Баймагамбетова, д. 168",не указаны,B,,,,,,,,,
