№,Организация,Телефон,Доп. телефон,Адрес,Часы работы,Рабочее время,Нерабочее время,Выходные,Неявки,Заметки
1,"Стоматологический центр ""PROTETIKA""",+7 776 237 84 05,+7 (7142) 91 78 89,"пр. Абая, д. 112",,,,,,
2,"Стоматологический кабинет ""МОЙ ДОКТОР""",+7 705 450 98 95,,"ул. Аль-Фараби, д. 117",09:00-18:00,,,,,
3,"Стоматология ""STOMAX 72+""",+7 (7142) 56 60 82,+7 777 792 09 81,"ул. Бородина, д. 234Б",,,,,,
4,УЗИ-кабинет доктора Анель Испосуновой,+7 701 109 04 39,,"пр. Абая, д. 112",,,,,,
5,"Стоматология ""DENTAL"" в 7 мкр",+7 (7142) 22 36 77,+7 701 068 33 37,"мкр 7, д. 17",,,,,,
6,"Стоматология ""DENTAL"" на Береке",+7 (7142) 28 42 96,+7 701 059 33 36,"мкр Береке, д. 50",,,,,,
7,"Стоматология ""DENTAL"" на Чехова",+7 (7142) 56 76 73,+7 701 673 33 80,"ул. Чехова, д. 125",09:00-19:00,,,,,
8,"Стоматология ""DENTAL"" на Чкалова",+7 (7142) 26 42 16,+7 701 950 33 38,"ул. Чкалова, д. 7",09:00-19:00,,,,,
9,"Стоматология ""DENTAL"" на Каирбекова",+7 (7142) 56 48 66,+7 701 064 33 31,"ул. Каирбекова, д. 389",,,,,,
10,"Глазная клиника ""ЛАЗЕР""",+7 (7142) 52 22 43,+7 776 714 82 42,"ул. Гоголя, д. 92",,,,,,
11,"Медицинский кабинет ""ЖАННА""",+7 (7142) 54 67 74,+7 777 653 38 81,"ул. Амангельды, д. 76",,,,,,
12,"Медцентр ""ЖЕМЧУЖИНА СТОМЕД"" на Пушкина",+7 (7142) 50 33 00,+7 707 550 63 55,"ул. Пушкина, д. 54",09:00-20:00,,,,,
13,"Медцентр ""ЖЕМЧУЖИНА СТОМЕД"" на Уральской",+7 (7142) 28 01 69,+7 (7142) 50 33 00,"ул. Уральская, д. 14",,,,,,
14,"Медцентр ""УРОМЕД"" на Амангельды",+7 (7142) 53 05 03,,"ул. Амангельды, д. 143А",,,,,,
15,"Лечебно-диагностический центр ""ГИППОКРАТ""",+7 (7142) 54 47 33,+7 (7142) 54 34 84,"ул. 1 Мая, д. 151, корп. 7",,,,,,
16,"Диагностический центр ""NOVA""",+7 (7142) 92 73 23,+7 700 400 33 33,"ул. Майлина, д. 57",,,,,,
